"price","repair","house_age","dist_to_subway","subway_dist_to_center","agent_offers","subway_offers","rooms","footage","floor","max_floor","first_floor","last_floor","AO","hm"
8,3,42,"0.96","17.166",1,5,1,"39.4",11,12,0,0,"UAO","panel"
"7.2",2,43,"0.802","17.166",1,9,1,"35.6",2,9,0,0,"UAO","panel"
"10.3",2,43,"0.638","17.166",57,9,2,"53.0",5,12,0,0,"UAO","panel"
"8.5",2,43,"0.929","17.166",292,5,2,"44.1",8,9,0,0,"UAO","panel"
9,2,43,"0.785","17.166",292,5,2,"44.2",6,9,0,0,"UAO","panel"
"8.05",2,38,"0.962","17.166",292,5,1,"39.5",1,12,1,0,"UAO","panel"
"10.9",2,35,"0.556","17.166",57,9,2,"57.0",19,22,0,0,"UAO","panel"
"8.1",2,32,"0.859","17.166",36,13,1,"33.9",2,22,0,0,"UAO","block"
10,3,45,"1.323","17.166",65,6,2,"45.9",10,12,0,0,"UAO","panel"
9,3,44,"0.796","17.166",1,9,2,"45.8",6,12,0,0,"UAO","panel"
10,1,43,"0.638","17.166",2,8,2,"51.7",8,12,0,0,"UAO","panel"
10,2,44,"0.529","17.166",218,9,2,"51.0",5,12,0,0,"UAO","panel"
"10.8",2,44,"0.433","17.166",218,9,2,"53.5",13,16,0,0,"UAO","panel"
"7.85",2,38,"0.962","17.166",205,5,1,"39.5",1,12,1,0,"UAO","panel"
"7.8",2,33,"0.923","17.166",205,5,1,"39.0",2,14,0,0,"UAO","panel"
8,2,43,"0.95","17.166",205,5,1,"32.9",4,9,0,0,"UAO","panel"
"8.5",3,36,"0.564","17.166",35,8,1,"38.1",5,12,0,0,"UAO","panel"
9,2,36,"0.307","17.166",1,5,2,"44.0",5,9,0,0,"UAO","panel"
10,2,43,"0.857","17.166",2,9,2,"51.4",2,12,0,0,"UAO","panel"
"7.85",3,38,"0.962","17.166",5,9,1,"39.5",1,12,1,0,"UAO","panel"
"8.999999",2,43,"0.785","17.166",11,6,2,"45.1",6,9,0,0,"UAO","panel"
"7.7",2,34,"1.031","17.166",1,9,1,"39.0",2,14,0,0,"UAO","panel"
"10.3",2,43,"0.638","17.166",1,6,2,"53.0",5,12,0,0,"UAO","panel"
9,3,43,"0.726","17.166",6,8,2,"44.6",3,12,0,0,"UAO","panel"
"9.8",3,43,"0.539","17.166",62,8,2,"44.4",3,9,0,0,"UAO","panel"
8,2,32,"0.859","17.166",7,9,1,"33.9",2,22,0,0,"UAO","block"
9,2,43,"0.539","17.166",2,13,2,"43.0",8,9,0,0,"UAO","panel"
"8.6",2,44,"0.483","17.166",1,5,2,"44.5",3,9,0,0,"UAO","panel"
"8.6",2,35,"0.091","17.166",12,8,1,"38.6",3,22,0,0,"UAO","panel"
"8.99",3,43,"0.785","17.166",7,8,2,"45.0",6,9,0,0,"UAO","panel"
"8.5",2,42,"0.741","17.166",4,11,2,"45.0",9,9,0,1,"UAO","panel"
"8.5",3,35,"0.091","17.166",54,11,1,"38.4",3,22,0,0,"UAO","panel"
8,3,43,"0.95","17.166",21,13,1,"33.0",4,9,0,0,"UAO","panel"
"7.19",2,44,"0.291","17.166",9,11,1,"32.5",5,9,0,0,"UAO","panel"
"11.55",2,35,"0.15","17.166",1,6,2,"58.5",21,22,0,0,"UAO","panel"
"5.5",2,35,"0.556","17.166",1,13,2,"57.0",5,22,0,0,"UAO","panel"
"11.8",2,35,"0.352","17.166",1,8,2,"58.0",22,22,0,1,"UAO","panel"
"7.5",1,43,"1.328","17.166",14,13,2,"48.4",1,12,1,0,"UAO","block"
"8.1",3,37,"0.125","17.166",2,8,1,"38.0",2,16,0,0,"UAO","panel"
"7.8",2,34,"0.63","17.166",1,5,1,"39.0",6,14,0,0,"UAO","panel"
"7.25",2,44,"0.291","17.166",1,5,1,"32.5",5,9,0,0,"UAO","brick"
"10.5",2,34,"1.05","17.166",1,8,2,"60.5",4,17,0,0,"UAO","panel"
9,1,23,"0.486","17.166",1,8,1,"37.8",11,17,0,0,"UAO","panel"
"7.85",3,38,"0.962","17.166",6,13,1,"39.5",1,12,1,0,"UAO","panel"
8,3,43,"0.95","17.166",3,9,1,"33.0",4,9,0,0,"UAO","panel"
"6.8",3,43,"1.031","17.166",1,11,1,"32.6",4,9,0,0,"UAO","panel"
"10.5",2,44,"0.831","17.166",13,5,2,"53.7",8,16,0,0,"UAO","panel"
"9.5",3,43,"0.396","17.166",6,9,2,"45.0",9,9,0,1,"UAO","panel"
"9.1",2,44,"0.849","17.166",13,5,2,"47.0",11,12,0,0,"UAO","panel"
"9.2",1,34,"1.16","17.166",2,13,2,"50.9",14,17,0,0,"UAO","panel"
7,3,42,"0.96","17.166",1,11,1,"39.0",2,12,0,0,"UAO","panel"
7,1,32,"1.104","17.166",1,9,1,"38.0",14,17,0,0,"UAO","panel"
"7.85",2,38,"0.962","17.166",5,9,1,"40.0",1,12,1,0,"UAO","panel"
"7.85",2,38,"0.962","17.166",2,9,1,"39.5",1,12,1,0,"UAO","panel"
"9.8",2,24,"1.146","17.166",1,6,2,"52.0",17,17,0,1,"UAO","panel"
"10.3",2,44,"0.367","17.166",1,11,2,"46.0",3,9,0,0,"UAO","panel"
"10.4",3,43,"0.857","17.166",1,13,2,"51.2",4,12,0,0,"UAO","panel"
"9.74",2,43,"0.857","17.166",1,13,2,"52.0",2,12,0,0,"UAO","panel"
"10.3",2,34,"0.972","17.166",1,5,2,"54.0",5,17,0,0,"UAO","panel"
"9.55",2,40,"1.549","17.166",1,6,2,"48.0",1,9,1,0,"UAO","block"
9,2,43,"1.328","17.166",1,9,2,"51.8",5,12,0,0,"UAO","block"
"6.3",2,36,"1.117","17.166",1,13,1,"34.8",14,16,0,0,"UAO","panel"
"11.1",3,33,"0.84","17.166",3,11,2,"53.7",7,17,0,0,"UAO","panel"
"7.3",2,44,"0.55","17.166",1,13,1,"33.0",5,9,0,0,"UAO","panel"
"10.99",2,35,"0.15","17.166",1,8,2,"59.0",18,22,0,0,"UAO","panel"
"9.2",2,34,"0.791","17.166",1,11,1,"38.0",9,17,0,0,"UAO","panel"
"6.7",1,43,"0.888","17.166",1,11,1,"32.1",3,9,0,0,"UAO","panel"
"8.3",2,43,"0.881","17.166",1,9,2,"46.0",1,9,1,0,"UAO","panel"
"10.1",2,43,"0.381","17.166",1,9,2,"52.0",2,12,0,0,"UAO","panel"
10,2,44,"0.895","17.166",1,9,2,"53.3",11,16,0,0,"UAO","panel"
"10.5",2,33,"1.275","17.166",1,5,2,"58.0",8,17,0,0,"UAO","panel"
"8.5",2,34,"1.179","17.166",1,13,1,"37.6",12,17,0,0,"UAO","panel"
"9.2",2,34,"0.745","17.166",1,9,2,"54.0",11,17,0,0,"UAO","panel"
9,2,34,"1.526","17.166",1,9,2,"52.5",1,14,1,0,"UAO","panel"
"7.7",2,43,"0.95","17.166",1,9,1,"32.9",4,9,0,0,"UAO","panel"
"7.8",3,33,"0.828","17.166",1,9,1,"39.0",1,14,1,0,"UAO","panel"
"9.6",2,33,"0.84","17.166",1,8,2,"54.0",5,17,0,0,"UAO","panel"
"8.2",4,43,"0.857","17.166",1,9,1,"39.0",9,12,0,0,"UAO","panel"
"10.5",1,38,"0.962","17.166",1,9,2,"52.3",12,12,0,1,"UAO","brick"
"9.9",2,43,"0.993","17.166",1,9,2,"47.0",2,12,0,0,"UAO","panel"
